Feature,F_score,p_value
rms,2849.1987216632597,0.0
mfcc_1_mean,848.6861116466292,7.346260796355901e-227
mfcc_6_mean,224.09491933247665,7.200205977959767e-83
mfcc_5_mean,223.66798539962767,9.787418817511407e-83
mfcc_8_mean,212.42161435283487,3.378050361433075e-79
mfcc_5_std,202.17231714912342,6.271888900217745e-76
mfcc_9_mean,181.87847316888983,2.5064209510870337e-69
mfcc_2_std,160.7923998155377,2.8128687616658085e-62
mfcc_6_std,138.5465135814328,1.2885768505100264e-54
mfcc_7_mean,115.91916774581641,1.4196479929257897e-46
mfcc_1_std,113.12924915925838,1.4521068450931232e-45
mfcc_7_std,97.86537731414826,5.761376366496967e-40
mfcc_11_std,89.18449525708458,1.0037532335488183e-36
mfcc_8_std,89.06932166919714,1.1089533318357083e-36
mfcc_4_std,89.05102523985515,1.1266536013221246e-36
centroid_std,84.50857808991726,5.82214366218065e-35
centroid_iqr,83.14387812130855,1.9148064067496298e-34
mfcc_13_std,82.20969424319665,4.331897783835782e-34
mfcc_10_std,78.61538511407554,1.0128996731380543e-32
mfcc_14_std,78.37125907071912,1.2554955988094415e-32
mfcc_9_std,78.36475402272919,1.2627006504091038e-32
mfcc_17_std,75.94565611678169,1.0646955997538352e-31
mfcc_15_std,73.79418540633938,7.138699073565049e-31
mfcc_19_std,69.80966692286752,2.4625416777783852e-29
centroid_min,69.72730015308323,2.650161000442702e-29
mfcc_12_std,67.49207536233237,1.950803400055823e-28
mfcc_16_std,63.129328654056735,9.796551567086925e-27
centroid_max,61.32220840605555,5.000529935716995e-26
mfcc_20_std,60.142971635378565,1.4523543155311587e-25
mfcc_18_std,53.910305110418,4.2062893447039273e-23
mfcc_3_mean,49.28437969479218,2.9306157894639047e-21
mfcc_3_std,46.90147202487584,2.6406438660469608e-20
centroid_delta,40.58988051532073,9.298146310850898e-18
mfcc_16_mean,39.3619296378382,2.930283118066192e-17
mfcc_17_mean,36.802370576379474,3.2302736422062e-16
mfcc_15_mean,25.973381247008238,9.291546303429123e-12
mfcc_2_mean,24.37352506720788,4.301865861392607e-11
centroid_mean,19.204391543473246,6.256883324435607e-09
centroid_q75,18.93485573514772,8.121677175293086e-09
centroid_q25,17.659367061111226,2.7953910042713765e-08
mfcc_13_mean,11.62187501900049,1.0073680096856312e-05
mfcc_18_mean,9.390311860637107,9.013534489380778e-05
mfcc_20_mean,9.359288513679074,9.29290520040966e-05
mfcc_4_mean,8.683068711513652,0.00018083318280532332
mfcc_19_mean,5.474140169906718,0.004304230084108494
mfcc_10_mean,2.1692974885466154,0.11472681533666719
mfcc_12_mean,1.7075505053370323,0.18177033528537173
mfcc_11_mean,1.2396740291042794,0.28986645700202496
mfcc_14_mean,0.666899636247404,0.513496613981048
