,PC1,PC2,Importance
rms,0.13144084703682832,-0.4478954592776254,0.5793363063144538
mfcc_1_mean,0.1780579945057129,-0.38630222142685533,0.5643602159325682
mfcc_2_std,0.3508536065829293,-0.19817213487030605,0.5490257414532353
mfcc_3_mean,-0.06096344542669146,0.4848653202499487,0.5458287656766402
mfcc_5_mean,0.08932346764999989,0.453396137842025,0.5427196054920249
mfcc_4_std,0.3466560337509522,0.15899027458812998,0.5056463083390822
mfcc_5_std,0.36489408049710537,0.13863970024541578,0.5035337807425211
mfcc_3_std,0.33068274794849933,0.17250306253818276,0.5031858104866821
mfcc_1_std,0.3857214288119867,-0.09607372421791738,0.48179515302990406
centroid_mean,0.16692564442219943,0.22605971048489748,0.3929853549070969
centroid_std,0.3401375692915618,0.0471313551081423,0.3872689243997041
centroid_iqr,0.32905260427132194,-0.05643810143814659,0.38549070570946853
mfcc_2_mean,-0.22337049467128345,-0.1392609521462225,0.3626314468175059
mfcc_4_mean,0.055201904760714286,-0.1040963460242409,0.1592982507849552
