,file_name,label,rms,centroid_mean,centroid_std,centroid_min,centroid_max,centroid_delta,centroid_q25,centroid_q75,centroid_iqr,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,Group,recording_id,Research_Group
0,00000000.wav,Normal,0.0068625947,2377.0578218782302,203.24964679423132,1962.1357677154376,3639.686883025867,1677.551115310429,2243.5467669278423,2495.872024153101,252.3252572252586,-285.3241,13.046962,61.081543,8.571634,-7.7420354,7.4188714,16.976044,6.9052896,8.054357,6.6162825,14.88802,5.8875127,6.4587326,6.7389126,1.5954313,5.6576967,-2.304761,5.457812,-0.29872477,5.0030975,1.8279066,4.5389066,2.0183275,4.6862817,0.50400305,4.645902,1.49456,4.081672,-1.9829648,4.2630677,3.1099977,3.6257195,-0.096998535,3.979113,-3.670382,3.697155,-4.0894895,3.8406937,-2.0958333,3.6013222,Unknown,Normal_00000000.wav,Normal
1,00000001.wav,Normal,0.0068921945,2615.976631704716,163.01238678543888,2204.683950385517,3477.425155342175,1272.7412049566578,2504.8405039784143,2701.621416967356,196.7809129889415,-282.2784,10.958236,51.239525,7.8877044,-11.985823,7.47328,5.0650983,6.930391,1.2806239,7.068424,7.9992,5.943946,5.630008,5.422198,-0.5745017,5.582457,-4.1366735,4.914056,-1.8258605,5.4996624,2.0736272,4.6745634,5.2404776,4.0364976,2.2385485,4.2722926,0.2613404,4.3268027,-5.150857,3.7657955,-2.3598423,4.1837277,-1.623434,4.1293426,-2.1754248,3.9284463,-7.7784715,4.0054364,-7.8402476,3.642836,Unknown,Normal_00000001.wav,Normal
2,00000002.wav,Normal,0.0070012277,2420.451820788732,221.4443487412368,1879.4462254116552,3125.582353076886,1246.1361276652317,2277.6260439545126,2554.6813283262823,277.05528437176963,-284.63037,13.951112,60.277317,10.349363,-5.4567604,8.053712,16.463049,7.54147,5.267432,6.9432225,9.330392,6.058006,3.5204988,6.1936183,2.0445445,5.480167,1.6015396,5.3916955,2.4372585,6.1801167,0.9984177,5.0595045,1.5614382,4.674001,0.51094997,4.8888245,2.8712103,4.706803,-0.612503,4.5954685,-0.19937073,4.173311,-1.7096604,4.066159,-0.5425352,4.2080007,-1.2679114,3.5889225,-0.1607345,3.821595,Unknown,Normal_00000002.wav,Normal
3,00000003.wav,Normal,0.0068640015,2640.5605903859782,143.98109034661633,2293.331119222344,3325.8924437061523,1032.5613244838082,2548.8011697840348,2723.995982539627,175.1948127555925,-284.53845,11.082034,51.45503,7.1807733,-4.688273,7.6783185,9.09877,6.373854,1.4928223,5.2652974,1.5588218,6.1166005,3.419533,5.530446,3.6841292,5.626081,2.2872522,5.229608,0.024993408,5.089651,-2.2489777,4.8310633,-3.8665967,4.703597,-4.3651013,4.3010874,-0.21074638,4.6309886,-1.4573848,4.3570733,2.0284185,4.115705,1.5729535,4.3291287,-0.5240223,3.9459693,-6.199827,4.3921075,-6.244669,3.9758508,Unknown,Normal_00000003.wav,Normal
4,00000004.wav,Normal,0.0068331724,2363.7873525779246,161.88521439903272,2017.3502982268944,3058.5609096293138,1041.2106114024195,2262.940959638257,2441.204919689177,178.26396005091965,-281.4695,10.882649,63.417408,7.5362253,-6.258961,7.9115376,18.218475,7.109123,2.3368914,5.7413073,7.245207,6.3432384,2.120394,5.0648446,1.3479234,5.0966487,0.08822664,4.568908,-0.8363359,4.456849,0.106599286,3.8145158,0.22989812,4.1735177,0.60501915,4.29276,2.6852498,4.3367786,0.43135786,4.4565797,0.5185991,3.951528,-1.2348701,3.7710164,-2.4427998,3.6709995,-3.7639198,3.474387,-1.0099999,3.5343263,Unknown,Normal_00000004.wav,Normal
5,00000005.wav,Normal,0.006980806,2610.7975455789783,165.4753555790561,2077.3549861770703,3103.0089623569097,1025.6539761798394,2517.9597843708875,2698.4132172573964,180.45343288650884,-278.2278,10.782706,50.17145,7.416637,-3.8363638,7.911124,18.597704,6.994025,7.565264,6.4040613,10.001087,6.5884767,5.154813,5.4696565,3.5234542,6.053355,-0.6961516,5.291182,0.4979285,4.981532,-0.6778997,4.817793,1.3699316,4.574104,-0.966862,3.6253943,1.9805617,4.335552,-1.3682781,4.2374625,-0.45140505,4.103488,-3.0285683,3.9749002,-2.9267738,3.6057258,-5.3722577,3.8295908,-1.8137087,3.6818748,Unknown,Normal_00000005.wav,Normal
6,00000006.wav,Normal,0.0068771886,2339.569536094821,178.14121867918502,1985.443560710696,3121.951644098978,1136.508083388282,2208.199528619346,2439.3587845183047,231.1592558989587,-282.26746,11.2016535,64.32593,8.273143,-6.515759,7.606307,17.438208,6.998939,4.017444,5.865339,9.061739,6.2702527,3.0720246,6.3077784,2.9733574,5.238886,0.395469,4.957001,-1.4234731,4.6279697,-1.2936457,4.3150887,-0.11984382,4.17484,1.0249765,4.0348043,2.6921713,4.20543,-0.40570363,3.5683384,0.117058314,3.702972,-1.7003198,3.8661633,-2.2694404,3.4538043,-2.458293,3.52089,-1.7713779,3.4850569,Unknown,Normal_00000006.wav,Normal
7,00000007.wav,Normal,0.0069639483,2417.452419581281,179.85523335204113,2025.7186805727367,3076.4905034428693,1050.7718228701322,2299.6180608165414,2513.131235998671,213.5131751821296,-281.74167,13.379186,59.527256,8.262532,-8.410785,7.0570283,15.13465,7.310162,7.928646,6.83823,13.59494,7.358423,4.930292,5.6147466,-0.3941104,5.962387,-2.993483,5.501421,0.8477132,4.8514743,2.6042047,4.3761954,1.5185543,4.49285,-0.19754133,4.7284956,-0.12823325,4.428874,-1.4549274,4.4533296,1.4080007,4.0748267,-0.31284443,3.998036,-3.801564,4.139612,-5.4921627,3.9366744,-2.9866023,3.5572085,Unknown,Normal_00000007.wav,Normal
8,00000008.wav,Normal,0.006792839,2677.621959904908,150.75600463633393,2270.154174105457,3193.7764592436506,923.6222851381935,2574.3532447410616,2764.6892408233584,190.3359960822968,-281.80493,10.157968,48.295364,7.0513268,-10.125131,6.7470202,5.597627,5.8289924,0.5262187,6.027793,6.214743,6.0363846,7.4141655,5.8038387,6.0508275,5.0033784,-2.7325625,4.94577,-6.065188,4.4659047,-2.1493056,4.7596455,2.9985044,4.7470727,4.427397,4.547339,4.927211,4.615989,-1.3750811,4.1449404,-3.5149808,3.9912827,-7.840371,3.8060467,-3.9826045,3.5723655,-3.4139206,3.596915,-3.3141212,3.834332,Unknown,Normal_00000008.wav,Normal
9,00000009.wav,Normal,0.006868547,2616.637527413679,156.01228082252612,2217.05933304321,3276.0217262753886,1058.9623932321788,2524.595521076492,2679.410635804331,154.81511472783905,-283.20444,11.962208,52.37556,7.3356137,-7.661783,7.487551,7.409235,7.0527935,0.91276294,6.004605,4.4516335,6.055437,5.014191,5.4080524,3.7166207,5.234816,-0.09244388,5.1602798,-4.0972824,4.8123484,-4.822697,4.335304,2.419438,4.717754,4.593727,4.050115,5.743772,4.0915217,-0.061446425,3.7873712,-0.8994589,3.653746,-7.1677947,3.7395666,-6.6054344,3.905992,-4.0978847,3.6919563,2.1874876,3.8921134,Unknown,Normal_00000009.wav,Normal
