mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,file_name,label
-242.65063,22.509523,78.21747,13.855007,-10.221791,7.003021,1.2031032,5.6937137,-16.275229,6.403285,-9.489456,5.521261,-4.0240326,5.3669157,-7.904572,4.911176,-9.941629,5.378417,-1.9137493,4.9859953,-1.1460043,4.209937,1.9283375,4.5932403,-0.95488364,3.9874125,-2.8651192,3.6147077,-4.732975,3.256157,1.6988962,3.65528,0.84039074,3.3433867,2.5681639,3.4554873,-0.82444024,3.414315,-3.58031,3.489871,00000000.wav,Abnormal
-224.64966,17.485369,59.709946,20.50659,-7.50859,10.163268,-2.0003603,6.416424,-19.55671,6.4103713,-14.428203,4.801384,-10.508276,4.521146,-9.983263,4.3054004,-11.059632,4.5407968,-4.7821627,4.5000086,-5.366002,4.9218717,-4.429918,4.271126,-4.551869,4.338196,-3.270648,3.6264732,-2.2518187,3.2685263,2.7769496,3.183972,0.52426374,3.1789594,-0.7453194,3.2213068,-2.6003942,3.1329267,-3.7829123,2.7799106,00000001.wav,Abnormal
-239.0126,16.00994,83.44694,11.693311,-7.843162,6.8181424,10.815055,5.6930604,-10.995159,6.0365424,-2.5504105,5.251113,-2.2441947,5.0174103,-4.6575356,4.3137684,-5.8242893,3.7949944,2.4166934,4.6141114,-0.20795855,4.369784,1.3530715,4.11652,-0.86777073,3.9284017,0.69281393,3.8822186,1.2972488,3.771777,6.45538,3.2233422,2.137333,3.327755,-0.18310148,3.2731419,-2.1785066,3.1554472,-1.7267888,3.5398874,00000002.wav,Abnormal
-240.72728,20.172394,82.87917,13.944656,-8.398624,6.272265,11.047417,6.4256945,-11.994704,6.9678507,-3.5297084,5.866755,-1.8571137,5.3271084,-2.8212805,4.5451593,-4.6742597,4.805319,2.5475094,4.779637,-0.275328,4.0213914,0.6568393,3.9950745,0.3842599,3.9185824,1.5623239,3.6640363,2.3908556,3.4789495,7.95002,3.470337,3.977584,3.1391208,2.9252574,3.2094274,1.4366477,3.5927398,1.5931582,3.6634297,00000003.wav,Abnormal
-232.62764,17.488207,85.915184,11.995054,-8.872291,5.63479,9.630671,5.81878,-14.365468,5.8224263,-4.6182923,4.7452407,-4.285509,4.7747583,-5.0872293,4.7534447,-5.948306,4.244534,0.77177024,3.9312088,-1.6805748,4.0487924,0.7159172,3.5606213,-0.5988947,3.710233,0.38562685,3.6366642,1.3573608,3.672752,5.96825,3.1460998,2.6219525,3.1792364,1.1527672,3.381551,-0.87331575,3.4110088,-0.26979205,3.020358,00000004.wav,Abnormal
-238.05315,17.748804,82.53603,12.486233,-8.2817545,6.731033,10.546439,6.5915346,-12.093208,6.4154973,-3.658344,6.2531967,-3.6310902,4.638196,-4.765066,4.628453,-6.577914,4.078284,0.23642287,4.2634077,-2.562489,3.87968,-0.66262054,3.8318691,-1.3170755,3.658699,-0.52116483,3.637521,0.13747998,3.3399982,4.8513064,3.0842688,1.3694699,3.1010442,1.0500469,3.1073725,-1.3970727,3.1495602,-1.7420943,3.1282349,00000005.wav,Abnormal
-235.0015,19.684174,82.96744,13.530142,-8.220394,6.0144353,10.077974,6.125465,-11.279552,7.017098,-2.147689,5.57369,-1.552671,5.0512466,-4.2706795,4.60316,-5.7588344,4.533527,1.2764387,4.2742987,-1.4697839,4.2596555,1.2053765,3.9357753,0.0025368833,3.651327,0.005427254,3.5124624,0.59989536,3.4191182,5.8412623,2.9337022,2.7143097,3.2809532,0.62657183,3.7031744,-1.9024087,3.454166,-1.9607756,3.199933,00000006.wav,Abnormal
-235.22763,23.107609,86.144104,13.167784,-6.9468412,6.280262,9.40803,6.61042,-12.700192,7.8586364,-2.9112651,7.038422,-2.5760124,5.7737026,-5.3446875,5.233865,-6.289805,4.490575,1.4676206,4.664945,-1.556658,4.0104203,0.6349009,4.1063294,-0.471705,4.3559375,0.11869449,3.8545165,0.66724783,3.3083708,5.290822,3.070661,0.9389535,2.9622304,-1.1866165,3.1312478,-2.9761107,3.595342,-2.9055502,3.5822067,00000007.wav,Abnormal
-239.16528,20.936043,83.46286,14.368812,-5.0542984,6.492456,11.556594,6.4974136,-11.020628,7.189088,-2.3143542,6.44113,-1.3556331,5.813905,-5.0136433,5.32178,-5.9313655,5.131386,0.7372382,4.4044223,-3.0737438,4.1290646,0.20360084,3.9294257,-1.0403876,3.5528865,0.57825196,3.4732652,0.53235906,3.4914715,4.563931,3.3410788,1.2636485,3.1548147,0.2857431,3.2731557,-1.388186,3.575793,-1.9585035,3.0791757,00000008.wav,Abnormal
-235.29398,24.019304,82.63031,13.083659,-6.388105,7.306227,11.033584,7.139174,-12.434009,7.8003087,-3.659649,5.7766285,-3.5694444,5.521479,-4.705723,5.2335644,-7.0190697,5.0597816,-0.6751433,4.871697,-3.2758937,4.26444,0.047824897,4.188274,-0.2207356,3.4253259,0.7834032,3.7997916,0.9408382,3.5237324,5.4888263,3.4934492,1.9359953,3.3809373,0.45512745,3.321773,-1.7019024,3.5895157,-2.2046425,3.36812,00000009.wav,Abnormal
