mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,file_name,label
-332.11533,8.203928,81.8194,6.559093,16.590462,3.6826494,15.812954,3.3902168,1.6993248,3.1800463,5.663946,3.369003,8.289475,3.0356562,6.693435,3.3170562,3.2118607,3.5891783,2.6665444,2.9880054,1.8972797,2.9739146,1.6502345,3.0413167,-0.020452738,3.3447871,2.7634375,3.2765107,1.8586024,2.9380064,-4.95861,2.8414562,2.317682,2.6011393,-2.5291657,2.9648874,0.5822939,2.881765,-1.0265021,2.8792164,00000092.wav,Abnormal
-312.90152,5.1370482,79.93996,4.7217774,3.3833818,3.6327817,15.798806,3.3604987,0.3125275,2.9282503,6.887367,3.100823,4.3279376,2.9561462,4.445804,3.0025287,0.1461915,2.9374275,-0.5513583,2.5013647,-1.9029689,2.7314343,-1.8318083,3.049967,-0.8880603,2.9102392,1.3890755,2.7401967,3.1847935,2.901443,-0.13108037,2.9719772,3.679395,3.0120056,-1.6030736,2.8544784,-0.27680936,2.8608294,-1.1910529,2.775935,00000093.wav,Abnormal
-318.71796,5.5712914,84.403854,4.3836985,3.4982069,3.6135578,16.210001,3.1997695,-0.71353227,2.8759377,5.4896765,3.2008002,4.1133633,3.0047643,4.5099745,2.8816087,-0.62499595,2.922967,-1.5851947,2.948699,-1.7738614,2.6287918,-1.313201,3.0499027,0.5960464,2.7603505,2.480743,2.8727224,3.297946,3.123831,-0.94710904,3.00579,2.8361905,2.8274074,-1.949001,2.831499,-1.7605745,2.878198,-1.4098232,2.701846,00000094.wav,Abnormal
-318.57318,4.4646616,70.18762,3.7653775,8.271252,2.973665,-1.0852395,2.7540467,0.4508452,2.8511899,0.5586031,2.8994143,8.812194,3.0699213,6.7751145,3.311577,-2.5993135,2.9390776,-6.5123734,2.6738245,-4.7473946,2.9262543,2.4806774,2.9717178,3.701132,2.6937475,5.092246,2.926978,-0.22481242,3.0101879,-4.5444603,2.9707236,-8.303637,3.1369846,-4.442313,2.8062272,-0.14005487,2.7721956,4.2510924,2.772678,00000095.wav,Abnormal
-318.11273,4.932721,84.85626,4.1753325,1.7122945,3.1315536,17.566916,2.9021106,0.22804563,3.270524,6.9839406,2.9515362,5.0843453,2.9390478,3.8607986,3.0746677,-0.10539526,2.8369217,-0.658555,3.2855704,-2.3464136,2.9853058,-1.9648145,2.6735458,0.74994767,2.894955,3.2192235,2.8453374,4.8586817,2.86805,-0.24478434,2.8539274,2.687443,2.6824856,-1.9804657,2.628417,-0.9519572,2.6434739,-0.9094837,2.5132518,00000096.wav,Abnormal
-318.14276,5.0232334,84.428,4.706671,1.8472329,3.1571612,16.441736,2.8751612,0.43671703,3.0804372,8.356501,2.8010628,5.951194,2.9094799,4.89058,2.892237,0.051490612,3.1072311,-1.3631303,3.0622902,-2.6188488,2.8294513,-1.7311965,2.6238565,0.83271843,2.6867013,1.8404769,2.6639423,4.2735963,2.8376706,-0.04033673,2.9817908,2.5221083,2.7721167,-2.0815682,2.8336685,-1.2909662,2.5638247,-0.46919265,2.7234683,00000097.wav,Abnormal
-334.0922,6.545856,69.07269,4.1685667,15.863261,3.0956426,0.7029222,3.121717,-5.3564496,3.1011207,-0.19013491,2.9660516,6.161609,3.3540792,5.7040977,3.0688753,1.4536504,3.0636568,3.4630435,2.8883681,2.4219098,2.8100672,0.5848637,3.1006942,-1.3064601,2.8153133,0.7311728,3.2288792,-0.59037954,2.8803093,-1.7727466,2.9469502,0.6525471,2.903225,-2.5092342,2.947883,-5.281682,2.8463569,1.1952187,2.5943155,00000098.wav,Abnormal
-330.24466,4.601025,85.60261,3.783721,-4.1127353,3.3498333,9.249677,3.254736,4.129447,2.774906,10.702164,2.9209862,6.3200974,2.9215589,7.561948,2.8928921,6.9347234,2.9881241,0.035131194,2.7751439,-10.166882,2.9603205,-4.5692406,2.5442693,4.910322,2.7650561,3.2242436,2.9516807,2.15308,2.754621,5.335767,2.9022448,8.939361,2.7537332,-9.088107,2.6654077,-12.272613,2.4923463,-1.0245731,2.72388,00000099.wav,Abnormal
-323.59198,6.4085417,90.97738,3.9624748,0.26836815,5.4091163,15.360136,3.189536,-0.34096766,2.9046757,6.482937,2.8430955,4.0844975,2.9799354,3.4284256,3.1694715,0.30460486,2.8748546,-0.37171942,2.8263001,-2.0132172,2.8034077,-2.191565,2.8236334,1.5141221,2.9746835,1.795555,2.8966646,4.5564613,2.844762,-0.4959012,2.6658263,2.6702478,2.6330383,-3.0623147,2.8056386,-2.9355004,2.9492674,-1.8078374,2.7088168,00000100.wav,Abnormal
-330.67502,4.263669,86.91093,3.7138596,2.736715,2.9312615,13.427059,2.98683,5.8215513,2.952444,16.049942,2.9479518,8.956691,3.1530414,2.0619936,2.592258,-1.9515876,3.2333064,0.81672996,2.8324893,-1.4166417,2.9491153,-0.7735053,2.9455464,0.014272498,2.6346262,0.55780256,2.843626,3.4533544,2.7727125,3.168679,2.9501622,5.088823,2.658947,-4.1920967,2.7862697,-5.127046,2.5784361,-1.7446121,2.5726056,00000101.wav,Abnormal
-316.31348,4.433454,75.54438,3.3739166,3.547727,3.1706624,12.848241,3.0367284,5.5676036,2.7987554,13.211664,2.9434688,7.478976,3.0507617,2.528564,3.0374691,-2.8658528,2.9696333,1.9921801,3.0426948,-1.5444125,2.8734317,0.20757686,2.93916,-0.85018307,2.701435,1.9454525,2.827336,2.1644812,2.6994393,2.90738,2.6601198,2.0098464,2.5904007,-3.703976,2.8437831,-4.5450473,2.8038466,-1.4458492,2.7381275,00000102.wav,Abnormal
