file_name,label,rms
00000131.wav,Abnormal,0.00500022
00000126.wav,Abnormal,0.0051408317
00000127.wav,Abnormal,0.00518645
00000125.wav,Abnormal,0.005210203
00000129.wav,Abnormal,0.0052213785
00000132.wav,Abnormal,0.00522896
00000128.wav,Abnormal,0.0052461433
00000130.wav,Abnormal,0.00526028
00000133.wav,Abnormal,0.005263415
00000124.wav,Abnormal,0.005272549
00000122.wav,Abnormal,0.0053035403
00000123.wav,Abnormal,0.0053175893
00000118.wav,Abnormal,0.0055308775
00000121.wav,Abnormal,0.005548113
00000115.wav,Abnormal,0.005550739
00000113.wav,Abnormal,0.005552758
00000120.wav,Abnormal,0.0055621644
00000117.wav,Abnormal,0.0055678245
00000112.wav,Abnormal,0.005571452
00000116.wav,Abnormal,0.0055854963
00000111.wav,Abnormal,0.0055895173
00000114.wav,Abnormal,0.005609709
00000119.wav,Abnormal,0.0056116967
00000109.wav,Abnormal,0.005614391
00000106.wav,Abnormal,0.0056187655
00000110.wav,Abnormal,0.0056328317
00000103.wav,Abnormal,0.0056527858
00000108.wav,Abnormal,0.005676318
00000105.wav,Abnormal,0.005676329
00000102.wav,Abnormal,0.0056768437
00000104.wav,Abnormal,0.005685797
00000107.wav,Abnormal,0.0056902175
00000101.wav,Abnormal,0.0057252403
00000137.wav,Abnormal,0.0057413233
00000099.wav,Abnormal,0.0057656397
00000098.wav,Abnormal,0.005777927
00000136.wav,Abnormal,0.0057890345
00000096.wav,Abnormal,0.005791279
00000094.wav,Abnormal,0.0058016963
00000097.wav,Abnormal,0.0058077793
00000135.wav,Abnormal,0.005812357
00000100.wav,Abnormal,0.005826921
00000095.wav,Abnormal,0.0058403523
00000093.wav,Abnormal,0.005851076
00000142.wav,Abnormal,0.0058794045
00000134.wav,Abnormal,0.0059194528
00000092.wav,Abnormal,0.00593211
